entrez_gene_symbol	gene_long_name	category_sources	category
ABCC2	ATP BINDING CASSETTE SUBFAMILY C MEMBER 2	HopkinsGroom,GO	ABC TRANSPORTER
ABCC2	ATP BINDING CASSETTE SUBFAMILY C MEMBER 2	GO	CELL SURFACE
SEMA3F	SEMAPHORIN 3F	HingoraniCasas	DRUGGABLE GENOME
SRF	SERUM RESPONSE FACTOR	Pharos	KINASE
SRF	SERUM RESPONSE FACTOR	Pharos	TRANSCRIPTION FACTOR
CTDSP1	CTD SMALL PHOSPHATASE 1	HingoraniCasas	DRUGGABLE GENOME
CTDSP1	CTD SMALL PHOSPHATASE 1	GO	PROTEIN PHOSPHATASE
KARS1	LYSYL-TRNA SYNTHETASE 1	HumanProteinAtlas,Pharos	ENZYME
KARS1	LYSYL-TRNA SYNTHETASE 1	HingoraniCasas	DRUGGABLE GENOME
RTEL1	REGULATOR OF TELOMERE ELONGATION HELICASE 1	HumanProteinAtlas	ENZYME
RTEL1	REGULATOR OF TELOMERE ELONGATION HELICASE 1	GO	DNA REPAIR
USP40	UBIQUITIN SPECIFIC PEPTIDASE 40	dGene	PROTEASE
USP40	UBIQUITIN SPECIFIC PEPTIDASE 40	Pharos	ENZYME
KCNJ2	POTASSIUM VOLTAGE-GATED CHANNEL SUBFAMILY J MEMBER 2	BaderLabGenes,HumanProteinAtlas,Pharos,GuideToPharmacology	ION CHANNEL
KCNJ2	POTASSIUM VOLTAGE-GATED CHANNEL SUBFAMILY J MEMBER 2	RussLampel,HingoraniCasas	DRUGGABLE GENOME
KCNJ2	POTASSIUM VOLTAGE-GATED CHANNEL SUBFAMILY J MEMBER 2	HumanProteinAtlas	TRANSPORTER
ZNF806	ZINC FINGER PROTEIN 806	Pharos	TRANSCRIPTION FACTOR
DENND2B	DENN DOMAIN CONTAINING 2B	Pharos	KINASE
GPKOW	G-PATCH DOMAIN AND KOW MOTIFS	Pharos	KINASE
BAIAP2L1	BAI1 ASSOCIATED PROTEIN 2 LIKE 1	Pharos	KINASE
SIM2	SINGLE-MINDED FAMILY BHLH TRANSCRIPTION FACTOR 2	Pharos	TRANSCRIPTION FACTOR
SUOX	SULFITE OXIDASE	HopkinsGroom,RussLampel	DRUGGABLE GENOME
SUOX	SULFITE OXIDASE	HumanProteinAtlas,Pharos	ENZYME
IFI30	IFI30, LYSOSOMAL THIOL REDUCTASE	HingoraniCasas	DRUGGABLE GENOME
IFI30	IFI30, LYSOSOMAL THIOL REDUCTASE	Pharos	ENZYME
IGFBP5	INSULIN LIKE GROWTH FACTOR BINDING PROTEIN 5	HingoraniCasas	DRUGGABLE GENOME
PHOX2B	PAIRED LIKE HOMEOBOX 2B	MskImpact,CarisMolecularIntelligence,Tempus	CLINICALLY ACTIONABLE
PHOX2B	PAIRED LIKE HOMEOBOX 2B	Pharos	TRANSCRIPTION FACTOR
HUS1	HUS1 CHECKPOINT CLAMP COMPONENT	GO	DNA REPAIR
HUS1	HUS1 CHECKPOINT CLAMP COMPONENT	Pharos	KINASE
MPZL3	MYELIN PROTEIN ZERO LIKE 3	HingoraniCasas	DRUGGABLE GENOME
AKAP1	A-KINASE ANCHORING PROTEIN 1	Pharos	KINASE
OR4A21P	OLFACTORY RECEPTOR FAMILY 4 SUBFAMILY A MEMBER 21 PSEUDOGENE	RussLampel	DRUGGABLE GENOME
WDR72	WD REPEAT DOMAIN 72	Pharos	TRANSPORTER
IDUA	IDURONIDASE, ALPHA-L-	Pharos,HumanProteinAtlas	ENZYME
CLCF1	CARDIOTROPHIN LIKE CYTOKINE FACTOR 1	HingoraniCasas	DRUGGABLE GENOME
CLCF1	CARDIOTROPHIN LIKE CYTOKINE FACTOR 1	GO	GROWTH FACTOR
LANCL1	LANC LIKE 1	GO	G PROTEIN COUPLED RECEPTOR
LANCL1	LANC LIKE 1	Pharos	ENZYME
TYK2	TYROSINE KINASE 2	HopkinsGroom,dGene,Pharos	KINASE
TYK2	TYROSINE KINASE 2	HopkinsGroom,HingoraniCasas,RussLampel	DRUGGABLE GENOME
TYK2	TYROSINE KINASE 2	dGene,GO	TYROSINE KINASE
TYK2	TYROSINE KINASE 2	FoundationOneGenes	CLINICALLY ACTIONABLE
TYK2	TYROSINE KINASE 2	GuideToPharmacology,HumanProteinAtlas	ENZYME
BCL3	B-CELL CLL/LYMPHOMA 3	CarisMolecularIntelligence,FoundationOneGenes	CLINICALLY ACTIONABLE
CD38	CD38 MOLECULE	GO	CELL SURFACE
CD38	CD38 MOLECULE	HingoraniCasas	DRUGGABLE GENOME
RRM2	RIBONUCLEOTIDE REDUCTASE REGULATORY SUBUNIT M2	HingoraniCasas	DRUGGABLE GENOME
RRM2	RIBONUCLEOTIDE REDUCTASE REGULATORY SUBUNIT M2	GuideToPharmacology	ENZYME
OR2A5	OLFACTORY RECEPTOR FAMILY 2 SUBFAMILY A MEMBER 5	HopkinsGroom,RussLampel	DRUGGABLE GENOME
OR2A5	OLFACTORY RECEPTOR FAMILY 2 SUBFAMILY A MEMBER 5	HopkinsGroom,Pharos,dGene,GO	G PROTEIN COUPLED RECEPTOR
CLIC1	CHLORIDE INTRACELLULAR CHANNEL 1	Pharos	ION CHANNEL
CLIC1	CHLORIDE INTRACELLULAR CHANNEL 1	GO	TUMOR SUPPRESSOR
DKKL1	DICKKOPF LIKE ACROSOMAL PROTEIN 1	HingoraniCasas	DRUGGABLE GENOME
ANKRD27	ANKYRIN REPEAT DOMAIN 27	Pharos	ENZYME
FAP	FIBROBLAST ACTIVATION PROTEIN ALPHA	dGene,GO,HopkinsGroom	PROTEASE
FAP	FIBROBLAST ACTIVATION PROTEIN ALPHA	GO	CELL SURFACE
FAP	FIBROBLAST ACTIVATION PROTEIN ALPHA	GO	TUMOR SUPPRESSOR
FAP	FIBROBLAST ACTIVATION PROTEIN ALPHA	HingoraniCasas,RussLampel,HopkinsGroom	DRUGGABLE GENOME
FAP	FIBROBLAST ACTIVATION PROTEIN ALPHA	GuideToPharmacology	ENZYME
NTSR2	NEUROTENSIN RECEPTOR 2	HingoraniCasas,RussLampel,HopkinsGroom	DRUGGABLE GENOME
NTSR2	NEUROTENSIN RECEPTOR 2	HopkinsGroom,GO,GuideToPharmacology,dGene	G PROTEIN COUPLED RECEPTOR
EDN2	ENDOTHELIN 2	HingoraniCasas	DRUGGABLE GENOME
EDN2	ENDOTHELIN 2	GO	HORMONE ACTIVITY
GSX1	GS HOMEOBOX 1	Pharos	TRANSCRIPTION FACTOR
NIM1K	NIM1 SERINE/THREONINE PROTEIN KINASE	Pharos,IDG	KINASE
NIM1K	NIM1 SERINE/THREONINE PROTEIN KINASE	GuideToPharmacology	ENZYME
NIM1K	NIM1 SERINE/THREONINE PROTEIN KINASE	HingoraniCasas,RussLampel	DRUGGABLE GENOME
NIM1K	NIM1 SERINE/THREONINE PROTEIN KINASE	GO	SERINE THREONINE KINASE
AARS1	ALANYL-TRNA SYNTHETASE 1	HumanProteinAtlas,Pharos	ENZYME
CCK	CHOLECYSTOKININ	HingoraniCasas	DRUGGABLE GENOME
CCK	CHOLECYSTOKININ	GO	HORMONE ACTIVITY
CCK	CHOLECYSTOKININ	Pharos	ENZYME
OR7A2P	OLFACTORY RECEPTOR FAMILY 7 SUBFAMILY A MEMBER 2 PSEUDOGENE	dGene,Pharos,GO	G PROTEIN COUPLED RECEPTOR
OR7A2P	OLFACTORY RECEPTOR FAMILY 7 SUBFAMILY A MEMBER 2 PSEUDOGENE	RussLampel	DRUGGABLE GENOME
OR7E90P	OLFACTORY RECEPTOR FAMILY 7 SUBFAMILY E MEMBER 90 PSEUDOGENE	RussLampel	DRUGGABLE GENOME
SLC25A16	SOLUTE CARRIER FAMILY 25 MEMBER 16	RussLampel	DRUGGABLE GENOME
SLC25A16	SOLUTE CARRIER FAMILY 25 MEMBER 16	GuideToPharmacology	TRANSPORTER
YY1	YY1 TRANSCRIPTION FACTOR	GO	TUMOR SUPPRESSOR
YY1	YY1 TRANSCRIPTION FACTOR	GO	TRANSCRIPTION FACTOR COMPLEX
YY1	YY1 TRANSCRIPTION FACTOR	Pharos	TRANSCRIPTION FACTOR
RFPL4A	RET FINGER PROTEIN LIKE 4A	HopkinsGroom	DRUGGABLE GENOME
RFPL4A	RET FINGER PROTEIN LIKE 4A	HopkinsGroom	B30_2 SPRY DOMAIN
IGHV3-16	IMMUNOGLOBULIN HEAVY VARIABLE 3-16 (NON-FUNCTIONAL)	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
AFF1	AF4/FMR2 FAMILY MEMBER 1	FoundationOneGenes,CarisMolecularIntelligence	CLINICALLY ACTIONABLE
SQLE	SQUALENE EPOXIDASE	HopkinsGroom,RussLampel,HingoraniCasas	DRUGGABLE GENOME
SQLE	SQUALENE EPOXIDASE	Pharos,GuideToPharmacology	ENZYME
IGHV3-7	IMMUNOGLOBULIN HEAVY VARIABLE 3-7	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
SNF8	SNF8, ESCRT-II COMPLEX SUBUNIT	GO	TRANSCRIPTION FACTOR COMPLEX
EPX	EOSINOPHIL PEROXIDASE	HopkinsGroom,HingoraniCasas,RussLampel	DRUGGABLE GENOME
EPX	EOSINOPHIL PEROXIDASE	Pharos,HumanProteinAtlas	ENZYME
OR6Y1	OLFACTORY RECEPTOR FAMILY 6 SUBFAMILY Y MEMBER 1	dGene,Pharos,GO,HopkinsGroom	G PROTEIN COUPLED RECEPTOR
OR6Y1	OLFACTORY RECEPTOR FAMILY 6 SUBFAMILY Y MEMBER 1	HopkinsGroom,RussLampel	DRUGGABLE GENOME
SLC25A52	SOLUTE CARRIER FAMILY 25 MEMBER 52	GuideToPharmacology	TRANSPORTER
TCF12	TRANSCRIPTION FACTOR 12	CarisMolecularIntelligence	CLINICALLY ACTIONABLE
TCF12	TRANSCRIPTION FACTOR 12	GO	TRANSCRIPTION FACTOR COMPLEX
TCF12	TRANSCRIPTION FACTOR 12	Pharos	TRANSCRIPTION FACTOR
MYOD1	MYOGENIC DIFFERENTIATION 1	MskImpact	CLINICALLY ACTIONABLE
MYOD1	MYOGENIC DIFFERENTIATION 1	Pharos	TRANSCRIPTION FACTOR
MYOD1	MYOGENIC DIFFERENTIATION 1	GO	TRANSCRIPTION FACTOR COMPLEX
H3C11	H3 CLUSTERED HISTONE 11	HingoraniCasas	DRUGGABLE GENOME
CDH17	CADHERIN 17	GO,Pharos	TRANSPORTER
CDH17	CADHERIN 17	GO	CELL SURFACE
TMC8	TRANSMEMBRANE CHANNEL LIKE 8	Pharos	ION CHANNEL
TMC8	TRANSMEMBRANE CHANNEL LIKE 8	HumanProteinAtlas	TRANSPORTER
RNASEL	RIBONUCLEASE L	RussLampel	DRUGGABLE GENOME
RNASEL	RIBONUCLEASE L	dGene	KINASE
RNASEL	RIBONUCLEASE L	dGene	SERINE THREONINE KINASE
SCGB1C1	SECRETOGLOBIN FAMILY 1C MEMBER 1	HingoraniCasas	DRUGGABLE GENOME
PEDS1	PLASMANYLETHANOLAMINE DESATURASE 1	Pharos	ENZYME
CYP4A11	CYTOCHROME P450 FAMILY 4 SUBFAMILY A MEMBER 11	GuideToPharmacology,Pharos	ENZYME
CYP4A11	CYTOCHROME P450 FAMILY 4 SUBFAMILY A MEMBER 11	HopkinsGroom	CYTOCHROME P450
CYP4A11	CYTOCHROME P450 FAMILY 4 SUBFAMILY A MEMBER 11	HopkinsGroom,HingoraniCasas,RussLampel	DRUGGABLE GENOME
SMAD1	SMAD FAMILY MEMBER 1	Pharos	KINASE
HCRTR2	HYPOCRETIN RECEPTOR 2	GO,dGene,GuideToPharmacology,HopkinsGroom	G PROTEIN COUPLED RECEPTOR
HCRTR2	HYPOCRETIN RECEPTOR 2	HingoraniCasas,HopkinsGroom,RussLampel	DRUGGABLE GENOME
TRIM34	TRIPARTITE MOTIF CONTAINING 34	HopkinsGroom	B30_2 SPRY DOMAIN
TRIM34	TRIPARTITE MOTIF CONTAINING 34	HopkinsGroom	DRUGGABLE GENOME
HK1	HEXOKINASE 1	HumanProteinAtlas,Pharos	ENZYME
HK1	HEXOKINASE 1	Pharos	KINASE
PSG1	PREGNANCY SPECIFIC BETA-1-GLYCOPROTEIN 1	Pharos	ENZYME
PSG1	PREGNANCY SPECIFIC BETA-1-GLYCOPROTEIN 1	HingoraniCasas	DRUGGABLE GENOME
PSG1	PREGNANCY SPECIFIC BETA-1-GLYCOPROTEIN 1	GO	CELL SURFACE
UBE2T	UBIQUITIN CONJUGATING ENZYME E2 T	Pharos,HumanProteinAtlas	ENZYME
UBE2T	UBIQUITIN CONJUGATING ENZYME E2 T	GO	DNA REPAIR
UBE2T	UBIQUITIN CONJUGATING ENZYME E2 T	Tempus	CLINICALLY ACTIONABLE
NBEAP1	NEUROBEACHIN PSEUDOGENE 1	FoundationOneGenes	CLINICALLY ACTIONABLE
PSKH1	PROTEIN SERINE KINASE H1	GuideToPharmacology	ENZYME
PSKH1	PROTEIN SERINE KINASE H1	HingoraniCasas,RussLampel,HopkinsGroom	DRUGGABLE GENOME
PSKH1	PROTEIN SERINE KINASE H1	Pharos,dGene,HopkinsGroom,IDG	KINASE
PSKH1	PROTEIN SERINE KINASE H1	dGene,GO	SERINE THREONINE KINASE
PPIE	PEPTIDYLPROLYL ISOMERASE E	RussLampel,HingoraniCasas	DRUGGABLE GENOME
DEFB106B	DEFENSIN BETA 106B	HingoraniCasas	DRUGGABLE GENOME
MAP3K13	MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 13	HingoraniCasas,HopkinsGroom,RussLampel	DRUGGABLE GENOME
MAP3K13	MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 13	FoundationOneGenes,MskImpact	CLINICALLY ACTIONABLE
MAP3K13	MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 13	Pharos,HopkinsGroom,dGene	KINASE
MAP3K13	MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 13	GuideToPharmacology	ENZYME
MAP3K13	MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 13	dGene,GO	SERINE THREONINE KINASE
MCHR2	MELANIN CONCENTRATING HORMONE RECEPTOR 2	RussLampel,HopkinsGroom,HingoraniCasas	DRUGGABLE GENOME
MCHR2	MELANIN CONCENTRATING HORMONE RECEPTOR 2	HopkinsGroom,GuideToPharmacology,dGene	G PROTEIN COUPLED RECEPTOR
NRG3	NEUREGULIN 3	HingoraniCasas	DRUGGABLE GENOME
NRG3	NEUREGULIN 3	GO	GROWTH FACTOR
NRG3	NEUREGULIN 3	Pharos	KINASE
GHSR	GROWTH HORMONE SECRETAGOGUE RECEPTOR	HopkinsGroom,HingoraniCasas,RussLampel	DRUGGABLE GENOME
GHSR	GROWTH HORMONE SECRETAGOGUE RECEPTOR	HopkinsGroom,GO,HumanProteinAtlas,GuideToPharmacology,dGene	G PROTEIN COUPLED RECEPTOR
GHSR	GROWTH HORMONE SECRETAGOGUE RECEPTOR	GO	CELL SURFACE
GHSR	GROWTH HORMONE SECRETAGOGUE RECEPTOR	HumanProteinAtlas	TRANSPORTER
XPNPEP3	X-PROLYL AMINOPEPTIDASE 3	HopkinsGroom,GO,dGene	PROTEASE
XPNPEP3	X-PROLYL AMINOPEPTIDASE 3	HopkinsGroom,RussLampel	DRUGGABLE GENOME
XPNPEP3	X-PROLYL AMINOPEPTIDASE 3	GuideToPharmacology,HumanProteinAtlas	ENZYME
DOK4	DOCKING PROTEIN 4	Pharos	KINASE
NEIL3	NEI LIKE DNA GLYCOSYLASE 3	RussLampel,HopkinsGroom	DRUGGABLE GENOME
NEIL3	NEI LIKE DNA GLYCOSYLASE 3	Pharos	ENZYME
TRPM8	TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL SUBFAMILY M MEMBER 8	HingoraniCasas,RussLampel,HopkinsGroom	DRUGGABLE GENOME
TRPM8	TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL SUBFAMILY M MEMBER 8	GuideToPharmacology,BaderLabGenes,Pharos,HopkinsGroom	ION CHANNEL
TRPM8	TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL SUBFAMILY M MEMBER 8	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
FBXO45	F-BOX PROTEIN 45	HopkinsGroom	DRUGGABLE GENOME
FBXO45	F-BOX PROTEIN 45	HopkinsGroom	B30_2 SPRY DOMAIN
MGAT1	MANNOSYL (ALPHA-1,3-)-GLYCOPROTEIN BETA-1,2-N-ACETYLGLUCOSAMINYLTRANSFERASE	Pharos	ENZYME
SGPP2	SPHINGOSINE-1-PHOSPHATE PHOSPHATASE 2	GuideToPharmacology	ENZYME
TAS2R33	TASTE 2 RECEPTOR MEMBER 33	GO	G PROTEIN COUPLED RECEPTOR
FCGBP	FC FRAGMENT OF IGG BINDING PROTEIN	HingoraniCasas	DRUGGABLE GENOME
TIMP2	TIMP METALLOPEPTIDASE INHIBITOR 2	HingoraniCasas	DRUGGABLE GENOME
TIMP2	TIMP METALLOPEPTIDASE INHIBITOR 2	GO,dGene	PROTEASE INHIBITOR
IL33	INTERLEUKIN 33	HingoraniCasas	DRUGGABLE GENOME
CREG2	CELLULAR REPRESSOR OF E1A STIMULATED GENES 2	HingoraniCasas	DRUGGABLE GENOME
PLA2G15	PHOSPHOLIPASE A2 GROUP XV	Pharos	ENZYME
PLA2G15	PHOSPHOLIPASE A2 GROUP XV	HingoraniCasas	DRUGGABLE GENOME
ITK	IL2 INDUCIBLE T-CELL KINASE	GuideToPharmacology,HumanProteinAtlas	ENZYME
ITK	IL2 INDUCIBLE T-CELL KINASE	RussLampel,HopkinsGroom,HingoraniCasas	DRUGGABLE GENOME
ITK	IL2 INDUCIBLE T-CELL KINASE	dGene,GO	TYROSINE KINASE
ITK	IL2 INDUCIBLE T-CELL KINASE	dGene,Pharos,HopkinsGroom	KINASE
ITK	IL2 INDUCIBLE T-CELL KINASE	FoundationOneGenes,CarisMolecularIntelligence	CLINICALLY ACTIONABLE
CRP	C-REACTIVE PROTEIN	HingoraniCasas	DRUGGABLE GENOME
ACO1	ACONITASE 1	Pharos	ENZYME
ECM2	EXTRACELLULAR MATRIX PROTEIN 2	HingoraniCasas	DRUGGABLE GENOME
DTD2	D-TYROSYL-TRNA DEACYLASE 2 (PUTATIVE)	Pharos	ENZYME
CPB2	CARBOXYPEPTIDASE B2	HingoraniCasas,RussLampel,HopkinsGroom	DRUGGABLE GENOME
CPB2	CARBOXYPEPTIDASE B2	Pharos,GuideToPharmacology	ENZYME
CPB2	CARBOXYPEPTIDASE B2	HopkinsGroom,dGene	PROTEASE
GOT2	GLUTAMIC-OXALOACETIC TRANSAMINASE 2	Pharos	ENZYME
SLC25A11	SOLUTE CARRIER FAMILY 25 MEMBER 11	GuideToPharmacology	TRANSPORTER
SLC25A11	SOLUTE CARRIER FAMILY 25 MEMBER 11	RussLampel	DRUGGABLE GENOME
GAMT	GUANIDINOACETATE N-METHYLTRANSFERASE	Pharos	TRANSPORTER
MEOX2	MESENCHYME HOMEOBOX 2	Pharos	TRANSCRIPTION FACTOR
SLC6A19	SOLUTE CARRIER FAMILY 6 MEMBER 19	HingoraniCasas,HopkinsGroom	DRUGGABLE GENOME
SLC6A19	SOLUTE CARRIER FAMILY 6 MEMBER 19	GuideToPharmacology,HumanProteinAtlas,Pharos,HopkinsGroom	TRANSPORTER
SOGA1	SUPPRESSOR OF GLUCOSE, AUTOPHAGY ASSOCIATED 1	HingoraniCasas	DRUGGABLE GENOME
ERAS	ES CELL EXPRESSED RAS	Pharos	KINASE
NME5	NME/NM23 FAMILY MEMBER 5	Pharos	KINASE
NME5	NME/NM23 FAMILY MEMBER 5	Pharos	ENZYME
ATMIN	ATM INTERACTOR	Pharos	TRANSCRIPTION FACTOR
GGTLC1	GAMMA-GLUTAMYLTRANSFERASE LIGHT CHAIN 1	HingoraniCasas	DRUGGABLE GENOME
GGTLC1	GAMMA-GLUTAMYLTRANSFERASE LIGHT CHAIN 1	dGene	PROTEASE
PSG11	PREGNANCY SPECIFIC BETA-1-GLYCOPROTEIN 11	GO	CELL SURFACE
CDC42BPG	CDC42 BINDING PROTEIN KINASE GAMMA	dGene,IDG,HopkinsGroom,Pharos	KINASE
CDC42BPG	CDC42 BINDING PROTEIN KINASE GAMMA	dGene,GO	SERINE THREONINE KINASE
CDC42BPG	CDC42 BINDING PROTEIN KINASE GAMMA	HingoraniCasas,HopkinsGroom	DRUGGABLE GENOME
CDC42BPG	CDC42 BINDING PROTEIN KINASE GAMMA	GuideToPharmacology	ENZYME
TMPRSS9	TRANSMEMBRANE PROTEASE, SERINE 9	HopkinsGroom,dGene	PROTEASE
TMPRSS9	TRANSMEMBRANE PROTEASE, SERINE 9	HopkinsGroom,RussLampel	DRUGGABLE GENOME
PALS1	PROTEIN ASSOCIATED WITH LIN7 1, MAGUK FAMILY MEMBER	Pharos	KINASE
PALS1	PROTEIN ASSOCIATED WITH LIN7 1, MAGUK FAMILY MEMBER	Pharos	TRANSPORTER
CHCHD2	COILED-COIL-HELIX-COILED-COIL-HELIX DOMAIN CONTAINING 2	Pharos	TRANSCRIPTION FACTOR
CHCHD2	COILED-COIL-HELIX-COILED-COIL-HELIX DOMAIN CONTAINING 2	Pharos	ENZYME
HSD17B7	HYDROXYSTEROID 17-BETA DEHYDROGENASE 7	HopkinsGroom	SHORT CHAIN DEHYDROGENASE REDUCTASE
HSD17B7	HYDROXYSTEROID 17-BETA DEHYDROGENASE 7	HopkinsGroom,RussLampel,HingoraniCasas	DRUGGABLE GENOME
HSD17B7	HYDROXYSTEROID 17-BETA DEHYDROGENASE 7	Pharos	ENZYME
TBP	TATA-BOX BINDING PROTEIN	Pharos	TRANSCRIPTION FACTOR
TRAV5	T CELL RECEPTOR ALPHA VARIABLE 5	Pharos	TRANSCRIPTION FACTOR
TRAV5	T CELL RECEPTOR ALPHA VARIABLE 5	Pharos	KINASE
FCGR2A	FC FRAGMENT OF IGG RECEPTOR IIA	Tempus	CLINICALLY ACTIONABLE
FCGR2A	FC FRAGMENT OF IGG RECEPTOR IIA	HingoraniCasas	DRUGGABLE GENOME
PLB1	PHOSPHOLIPASE B1	GO	PHOSPHOLIPASE
PLB1	PHOSPHOLIPASE B1	Pharos	ENZYME
ROBO1	ROUNDABOUT GUIDANCE RECEPTOR 1	GO	CELL SURFACE
PLOD3	PROCOLLAGEN-LYSINE,2-OXOGLUTARATE 5-DIOXYGENASE 3	HumanProteinAtlas,Pharos	ENZYME
SYN1	SYNAPSIN I	Pharos	KINASE
SYN1	SYNAPSIN I	GO	TRANSPORTER
DPP9	DIPEPTIDYL PEPTIDASE 9	dGene,HopkinsGroom	PROTEASE
DPP9	DIPEPTIDYL PEPTIDASE 9	GuideToPharmacology	ENZYME
DPP9	DIPEPTIDYL PEPTIDASE 9	HingoraniCasas,RussLampel,HopkinsGroom	DRUGGABLE GENOME
SLC12A1	SOLUTE CARRIER FAMILY 12 MEMBER 1	GuideToPharmacology,Pharos	TRANSPORTER
SLC12A1	SOLUTE CARRIER FAMILY 12 MEMBER 1	RussLampel,HopkinsGroom,HingoraniCasas	DRUGGABLE GENOME
SLC35B3	SOLUTE CARRIER FAMILY 35 MEMBER B3	Pharos,GuideToPharmacology	TRANSPORTER
SLC31A2	SOLUTE CARRIER FAMILY 31 MEMBER 2	GuideToPharmacology	TRANSPORTER
BHLHA9	BASIC HELIX-LOOP-HELIX FAMILY MEMBER A9	Pharos	TRANSCRIPTION FACTOR
TAF1D	TATA-BOX BINDING PROTEIN ASSOCIATED FACTOR, RNA POLYMERASE I SUBUNIT D	Pharos	TRANSCRIPTION FACTOR
PRCC	PAPILLARY RENAL CELL CARCINOMA (TRANSLOCATION-ASSOCIATED)	CarisMolecularIntelligence,Tempus	CLINICALLY ACTIONABLE
PRCC	PAPILLARY RENAL CELL CARCINOMA (TRANSLOCATION-ASSOCIATED)	GO	TUMOR SUPPRESSOR
EPDR1	EPENDYMIN RELATED 1	HingoraniCasas	DRUGGABLE GENOME
OR51B6	OLFACTORY RECEPTOR FAMILY 51 SUBFAMILY B MEMBER 6	RussLampel	DRUGGABLE GENOME
OR51B6	OLFACTORY RECEPTOR FAMILY 51 SUBFAMILY B MEMBER 6	Pharos,GO,dGene	G PROTEIN COUPLED RECEPTOR
P2RY1	PURINERGIC RECEPTOR P2Y1	RussLampel,HopkinsGroom,HingoraniCasas	DRUGGABLE GENOME
P2RY1	PURINERGIC RECEPTOR P2Y1	GuideToPharmacology,HopkinsGroom,dGene	G PROTEIN COUPLED RECEPTOR
P2RY1	PURINERGIC RECEPTOR P2Y1	GO	CELL SURFACE
BCS1L	BCS1 HOMOLOG, UBIQUINOL-CYTOCHROME C REDUCTASE COMPLEX CHAPERONE	HumanProteinAtlas	TRANSPORTER
PPARD	PEROXISOME PROLIFERATOR ACTIVATED RECEPTOR DELTA	GuideToPharmacology,BaderLabGenes,GO,dGene,HopkinsGroom,Pharos	NUCLEAR HORMONE RECEPTOR
PPARD	PEROXISOME PROLIFERATOR ACTIVATED RECEPTOR DELTA	RussLampel,HopkinsGroom,HingoraniCasas	DRUGGABLE GENOME
PPARD	PEROXISOME PROLIFERATOR ACTIVATED RECEPTOR DELTA	Pharos	TRANSCRIPTION FACTOR
SAA4	SERUM AMYLOID A4, CONSTITUTIVE	HingoraniCasas	DRUGGABLE GENOME
PIK3CG	PHOSPHATIDYLINOSITOL-4,5-BISPHOSPHATE 3-KINASE CATALYTIC SUBUNIT GAMMA	RussLampel,HingoraniCasas,HopkinsGroom	DRUGGABLE GENOME
PIK3CG	PHOSPHATIDYLINOSITOL-4,5-BISPHOSPHATE 3-KINASE CATALYTIC SUBUNIT GAMMA	MskImpact,CarisMolecularIntelligence,FoundationOneGenes,Tempus	CLINICALLY ACTIONABLE
PIK3CG	PHOSPHATIDYLINOSITOL-4,5-BISPHOSPHATE 3-KINASE CATALYTIC SUBUNIT GAMMA	GuideToPharmacology	ENZYME
PIK3CG	PHOSPHATIDYLINOSITOL-4,5-BISPHOSPHATE 3-KINASE CATALYTIC SUBUNIT GAMMA	dGene,HopkinsGroom	PHOSPHATIDYLINOSITOL 3 KINASE
PIK3CG	PHOSPHATIDYLINOSITOL-4,5-BISPHOSPHATE 3-KINASE CATALYTIC SUBUNIT GAMMA	dGene,GO,Pharos	KINASE
PIK3CG	PHOSPHATIDYLINOSITOL-4,5-BISPHOSPHATE 3-KINASE CATALYTIC SUBUNIT GAMMA	GO	SERINE THREONINE KINASE
JDP2	JUN DIMERIZATION PROTEIN 2	Pharos	TRANSCRIPTION FACTOR
GSS	GLUTATHIONE SYNTHETASE	HingoraniCasas	DRUGGABLE GENOME
ASAH2B	N-ACYLSPHINGOSINE AMIDOHYDROLASE 2B	GuideToPharmacology	ENZYME
PSG8	PREGNANCY SPECIFIC BETA-1-GLYCOPROTEIN 8	GO	CELL SURFACE
H4C13	H4 CLUSTERED HISTONE 13	HingoraniCasas	DRUGGABLE GENOME
H4C13	H4 CLUSTERED HISTONE 13	FoundationOneGenes	CLINICALLY ACTIONABLE
BPIFB2	BPI FOLD CONTAINING FAMILY B MEMBER 2	HingoraniCasas,RussLampel,HopkinsGroom	DRUGGABLE GENOME
ICAM3	INTERCELLULAR ADHESION MOLECULE 3	HingoraniCasas	DRUGGABLE GENOME
TAFA4	TAFA CHEMOKINE LIKE FAMILY MEMBER 4	HingoraniCasas	DRUGGABLE GENOME
MTMR2	MYOTUBULARIN RELATED PROTEIN 2	HopkinsGroom	PROTEIN PHOSPHATASE
MTMR2	MYOTUBULARIN RELATED PROTEIN 2	HopkinsGroom	DRUGGABLE GENOME
MTMR2	MYOTUBULARIN RELATED PROTEIN 2	dGene	MYOTUBULARIN RELATED PROTEIN PHOSPHATASE
